comparison_type,condition,metric,class,channel,band,group_a,group_b,n,median_a,median_b,median_diff,statistic,effect_rrb,p_raw,p_fdr,significant
ME_vs_MI,ME_vs_MI,auc,elbow_extension,C1,alpha,ME,MI,4,1.8399247891244626,1.824200075687996,-0.07959749229249458,3.0,-0.4,0.625,0.703125,False
ME_vs_MI,ME_vs_MI,auc,elbow_flexion,C1,alpha,ME,MI,4,1.6641444916035677,1.9084984620301595,-0.2443539704265918,1.0,-0.8,0.25,0.703125,False
ME_vs_MI,ME_vs_MI,auc,hand_close,C1,alpha,ME,MI,4,1.6162271927047644,2.1387964503185564,-0.5225692576137919,1.0,-0.8,0.25,0.703125,False
ME_vs_MI,ME_vs_MI,auc,hand_open,C1,alpha,ME,MI,4,1.585452361121621,2.00008920165407,-0.41463684053244887,1.0,-0.8,0.25,0.703125,False
ME_vs_MI,ME_vs_MI,auc,movement,C1,alpha,ME,MI,4,1.6526066572063636,1.9678960474226954,-0.31528939021633184,1.0,-0.8,0.25,0.703125,False
ME_vs_MI,ME_vs_MI,auc,rest,C1,alpha,ME,MI,4,2.456384783294778,2.1245047081225166,0.41809530794212135,2.0,0.6,0.375,0.703125,False
ME_vs_MI,ME_vs_MI,auc,elbow_extension,C4,alpha,ME,MI,4,2.1906510215967336,2.4549081556722765,-0.35146734617563746,2.0,-0.6,0.375,0.703125,False
ME_vs_MI,ME_vs_MI,auc,elbow_flexion,C4,alpha,ME,MI,4,2.404234368025394,2.3898665583480496,-0.14076491165916738,3.0,-0.4,0.625,0.703125,False
ME_vs_MI,ME_vs_MI,auc,hand_close,C4,alpha,ME,MI,4,2.2425503439007066,2.816918978702373,-0.5743686348016668,2.0,-0.6,0.375,0.703125,False
ME_vs_MI,ME_vs_MI,auc,hand_open,C4,alpha,ME,MI,4,2.0893233016864454,2.34338267493938,-0.4541848693841093,2.0,-0.6,0.375,0.703125,False
ME_vs_MI,ME_vs_MI,auc,movement,C4,alpha,ME,MI,4,2.2094681307426027,2.4972331765344746,-0.38019644050514523,2.0,-0.6,0.375,0.703125,False
ME_vs_MI,ME_vs_MI,auc,rest,C4,alpha,ME,MI,4,3.336402705247057,2.535165429919121,0.6279306925358783,1.0,0.8,0.25,0.703125,False
ME_vs_MI,ME_vs_MI,auc,elbow_extension,Cz,alpha,ME,MI,4,3.036700835635591,3.441262178934857,-0.40456134329926585,1.0,-0.8,0.25,0.703125,False
ME_vs_MI,ME_vs_MI,auc,elbow_flexion,Cz,alpha,ME,MI,4,2.8544840422020012,3.494705813390876,-0.6402217711888749,0.0,-1.0,0.125,0.703125,False
ME_vs_MI,ME_vs_MI,auc,hand_close,Cz,alpha,ME,MI,4,2.9353605558700497,3.466100299637639,-0.4931735528837682,0.0,-1.0,0.125,0.703125,False
ME_vs_MI,ME_vs_MI,auc,hand_open,Cz,alpha,ME,MI,4,2.7068844763343605,3.4907426353252804,-0.4580641277372426,0.0,-1.0,0.125,0.703125,False
ME_vs_MI,ME_vs_MI,auc,movement,Cz,alpha,ME,MI,4,2.8833574775105006,3.473202731822163,-0.5898452543116623,0.0,-1.0,0.125,0.703125,False
ME_vs_MI,ME_vs_MI,auc,rest,Cz,alpha,ME,MI,4,4.194623849158666,3.8897129504991916,0.3609845312630831,3.0,0.4,0.625,0.703125,False
ME_vs_MI,ME_vs_MI,auc,elbow_extension,C1,beta,ME,MI,4,3.023048113374971,3.246364132834226,-0.39999780906316884,3.0,-0.4,0.625,0.703125,False
ME_vs_MI,ME_vs_MI,auc,elbow_flexion,C1,beta,ME,MI,4,2.981106502318613,3.270622110465962,-0.5019872425646614,3.0,-0.4,0.625,0.703125,False
ME_vs_MI,ME_vs_MI,auc,hand_close,C1,beta,ME,MI,4,3.180310216746909,3.295622599804064,-0.3955311501313298,3.0,-0.4,0.625,0.703125,False
ME_vs_MI,ME_vs_MI,auc,hand_open,C1,beta,ME,MI,4,2.8977986677772556,3.326872164530976,-0.5399032365725709,2.0,-0.6,0.375,0.703125,False
ME_vs_MI,ME_vs_MI,auc,movement,C1,beta,ME,MI,4,3.0205658750544373,3.284870251908807,-0.45935485958293254,3.0,-0.4,0.625,0.703125,False
ME_vs_MI,ME_vs_MI,auc,rest,C1,beta,ME,MI,4,4.812228333226836,3.8809153518595205,-0.0150286349226596,5.0,0.0,1.0,1.0,False
ME_vs_MI,ME_vs_MI,auc,elbow_extension,C4,beta,ME,MI,4,4.547367788678889,5.194987924368375,-0.7736634539624102,3.0,-0.4,0.625,0.703125,False
